Uid,Sentiment
7240,negative
9740,positive
10780,neutral
12129,neutral
33301,positive
10803,neutral
43892,negative
10852,neutral
22184,positive
26586,neutral
10523,neutral
24651,positive
20454,negative
21647,neutral
11068,negative
14117,neutral
21540,neutral
31818,positive
11753,negative
28587,positive
17934,neutral
29398,positive
6119,positive
6176,negative
32221,negative
8653,positive
3626,positive
10962,neutral
23643,neutral
4888,positive
11484,neutral
4564,negative
2076,neutral
22672,negative
20835,neutral
8984,neutral
27024,positive
41913,neutral
25782,neutral
43583,positive
32309,negative
25299,neutral
8016,negative
9565,negative
10373,neutral
4954,neutral
34092,neutral
21165,positive
23671,positive
13955,positive
34650,neutral
11482,neutral
32223,neutral
11125,neutral
22549,neutral
23052,negative
19459,neutral
33453,negative
718,positive
3281,neutral
8053,negative
24419,negative
19151,neutral
27066,neutral
10135,negative
23251,positive
13550,negative
25681,neutral
9580,negative
13916,positive
29274,negative
35851,positive
21874,neutral
28006,neutral
3806,neutral
6313,positive
41387,neutral
10686,neutral
9675,neutral
13284,neutral
34026,negative
7953,neutral
22070,positive
27509,neutral
32695,positive
26706,negative
22409,neutral
11815,neutral
10869,positive
30300,negative
14569,negative
14608,neutral
38358,positive
15330,negative
4980,neutral
9050,negative
40854,neutral
6417,negative
25928,negative
11061,negative
8576,neutral
7831,neutral
1958,neutral
36228,positive
23221,neutral
28453,negative
31816,neutral
30867,positive
31454,negative
42905,neutral
12407,neutral
20583,positive
44407,negative
26019,positive
22441,positive
21966,negative
23714,neutral
17136,positive
4250,negative
40138,neutral
29492,positive
35713,negative
33903,negative
41432,neutral
41867,neutral
17778,negative
18624,neutral
31428,neutral
37432,neutral
9767,positive
40069,neutral
6637,positive
30994,negative
41952,positive
20976,neutral
9492,negative
19383,neutral
40164,neutral
3784,neutral
658,neutral
10623,neutral
10421,positive
13219,neutral
4943,positive
25438,positive
11628,positive
711,negative
15670,neutral
3853,neutral
15060,neutral
14554,neutral
35867,positive
13305,positive
29394,neutral
12557,positive
31960,neutral
21998,positive
19183,neutral
14607,negative
24332,positive
31484,negative
36442,positive
29370,positive
33705,negative
41402,neutral
22532,negative
11797,negative
19478,neutral
6149,negative
533,neutral
29452,positive
17607,neutral
29672,positive
10965,negative
41602,positive
28983,positive
34169,positive
15157,neutral
3445,neutral
40194,negative
43158,negative
10855,negative
20931,neutral
28635,neutral
316,neutral
2562,neutral
23646,negative
31997,negative
11232,neutral
11696,neutral
4163,neutral
12425,neutral
21937,neutral
38446,neutral
3595,negative
43579,neutral
37795,negative
7286,positive
22800,negative
38958,neutral
17202,negative
16773,neutral
11192,neutral
2952,negative
34247,neutral
19451,neutral
11866,neutral
11215,neutral
18015,neutral
38303,neutral
3782,positive
42438,positive
32427,neutral
31370,negative
5356,negative
43708,neutral
44655,neutral
43669,positive
41976,neutral
27582,positive
25744,positive
40937,neutral
6917,negative
27060,positive
25623,neutral
7896,positive
44997,positive
17458,neutral
41591,neutral
12926,negative
28275,negative
28031,neutral
30935,positive
6488,negative
42492,neutral
22503,negative
11960,negative
4625,positive
26085,neutral
13336,neutral
215,neutral
3338,neutral
20510,negative
24203,negative
31010,negative
26926,negative
19581,neutral
21262,neutral
38053,positive
20245,neutral
21942,neutral
20973,neutral
24165,neutral
14233,neutral
12005,positive
4387,neutral
7921,negative
11819,positive
6870,positive
37684,negative
10484,positive
20392,negative
509,positive
36734,positive
1945,neutral
20862,neutral
42444,positive
11581,neutral
35773,positive
32834,positive
37116,negative
10101,negative
16152,neutral
10433,negative
22966,neutral
9336,neutral
30317,neutral
25482,neutral
2742,negative
4929,negative
27264,neutral
11190,negative
41792,negative
2784,negative
15652,negative
18917,neutral
41051,negative
3518,positive
2479,positive
14132,negative
26433,neutral
24366,positive
18372,positive
35355,positive
21398,negative
11394,positive
18798,positive
8566,negative
11165,neutral
14637,neutral
16203,positive
18371,negative
4570,positive
17534,positive
7911,negative
38574,positive
10670,negative
20782,neutral
38530,positive
43434,neutral
6057,neutral
30207,negative
29900,negative
9133,positive
23577,negative
31254,positive
11209,neutral
34868,neutral
5703,neutral
33788,positive
12074,negative
10021,positive
17050,positive
10974,neutral
26627,neutral
4458,negative
23070,neutral
9449,neutral
32173,negative
21202,positive
29118,negative
28446,positive
6181,neutral
29850,negative
32375,neutral
44444,negative
14977,negative
3947,positive
11183,neutral
11174,positive
5997,neutral
45120,negative
43939,positive
12496,positive
8778,neutral
24335,positive
848,neutral
14495,neutral
25337,neutral
35492,positive
9155,neutral
15554,positive
35856,neutral
31917,neutral
31595,neutral
21804,positive
9702,positive
11181,neutral
20415,negative
11210,positive
31353,negative
25821,neutral
19887,neutral
16302,positive
20926,positive
7407,neutral
21361,neutral
15264,positive
27821,positive
10339,negative
11747,negative
19396,positive
34237,negative
12542,neutral
20356,neutral
33049,neutral
38921,positive
7367,neutral
334,neutral
25032,negative
22230,negative
10577,positive
44577,neutral
40006,neutral
23662,neutral
16863,positive
40894,neutral
488,negative
39787,positive
20723,neutral
9695,neutral
22686,negative
39443,negative
25735,neutral
13706,positive
11176,neutral
15765,negative
12844,neutral
30518,positive
39417,neutral
5377,neutral
42909,positive
23414,neutral
44213,negative
39871,negative
21570,neutral
32529,neutral
39540,positive
24249,positive
31661,neutral
29941,positive
5940,neutral
3380,positive
34077,negative
11271,negative
27274,neutral
37260,negative
41325,negative
12524,negative
10856,neutral
9526,neutral
42127,neutral
13997,negative
11114,negative
34253,positive
9400,positive
32968,positive
25659,negative
26893,positive
13897,neutral
23982,neutral
38235,positive
42820,neutral
20829,positive
11769,neutral
774,negative
42616,positive
23150,neutral
10774,neutral
11813,neutral
26156,positive
12626,neutral
36752,neutral
24753,neutral
10438,positive
28356,neutral
33927,negative
29552,positive
25986,neutral
14916,positive
26432,positive
28968,neutral
32928,positive
32432,negative
30197,positive
14252,neutral
17749,neutral
34834,neutral
42872,neutral
24392,positive
6413,neutral
9945,neutral
37320,neutral
20140,positive
43530,negative
11975,neutral
44346,neutral
14225,negative
32041,neutral
26335,positive
31209,positive
15837,positive
10578,positive
16884,positive
6651,negative
43553,positive
9001,negative
29635,positive
13048,positive
25259,neutral
25552,neutral
14009,positive
28534,positive
21078,neutral
4900,neutral
21174,neutral
12133,positive
37969,neutral
19514,neutral
18336,positive
21373,neutral
21306,positive
23125,neutral
31575,neutral
2368,neutral
32193,neutral
14770,positive
11517,positive
39083,positive
18781,neutral
30879,negative
4161,neutral
23207,neutral
11334,neutral
11325,neutral
25263,neutral
17720,positive
21779,neutral
28512,positive
39394,negative
36646,positive
28354,neutral
8150,positive
17706,positive
10713,neutral
25129,positive
24004,neutral
11101,neutral
13125,negative
14261,neutral
6153,neutral
11150,positive
9051,negative
15956,negative
13802,negative
24081,negative
21884,neutral
25252,neutral
43991,neutral
20744,neutral
17688,positive
31076,neutral
13397,positive
7979,positive
10917,negative
17063,negative
21498,neutral
11207,negative
16577,negative
25532,neutral
26208,positive
33855,neutral
8956,negative
8747,neutral
14745,positive
39874,negative
36028,positive
2554,neutral
13168,negative
38128,positive
13785,negative
40071,positive
5457,negative
17508,negative
10243,neutral
31399,positive
4004,negative
28571,negative
14430,negative
34847,neutral
34826,positive
10851,neutral
11636,neutral
35316,positive
11163,negative
9761,negative
38228,positive
19078,negative
14464,positive
40614,neutral
1,negative
31715,neutral
38801,negative
26756,negative
5384,positive
31830,negative
35029,neutral
41273,positive
31085,neutral
368,neutral
29490,positive
43902,negative
17256,positive
26077,positive
23321,neutral
11655,positive
8126,neutral
11147,negative
4726,positive
34516,neutral
13617,negative
10562,neutral
15355,negative
29784,negative
36084,negative
19485,negative
15563,neutral
11921,positive
11305,positive
38407,neutral
21304,neutral
10882,negative
25634,positive
24274,neutral
14344,positive
10947,neutral
493,positive
7369,neutral
24619,negative
35423,negative
36430,neutral
11775,negative
21453,positive
22711,negative
43685,positive
23019,positive
31065,negative
8838,neutral
9369,positive
14746,negative
31591,neutral
14478,positive
20945,neutral
19918,neutral
12973,positive
11692,negative
35191,negative
3530,positive
3838,negative
37690,neutral
16165,neutral
34606,positive
2741,neutral
3652,negative
19960,neutral
26547,negative
8169,positive
31616,negative
40700,neutral
12691,neutral
21148,neutral
11064,neutral
7442,positive
34836,neutral
22116,negative
12719,neutral
36073,positive
11097,positive
21380,negative
11721,neutral
41996,negative
23240,neutral
4146,negative
10336,positive
22171,positive
35220,positive
16832,positive
42192,positive
24021,positive
3589,neutral
4921,neutral
35642,neutral
21460,neutral
20472,neutral
2495,positive
10784,neutral
37948,neutral
42418,positive
5124,positive
1496,neutral
31569,neutral
15586,negative
35724,neutral
37841,negative
11323,neutral
35046,neutral
29949,positive
31339,neutral
10770,negative
6332,negative
33860,negative
18754,positive
17890,negative
5304,positive
43211,positive
29742,neutral
24255,positive
28297,negative
4299,negative
19776,positive
37421,neutral
29162,neutral
37081,neutral
8769,neutral
37540,neutral
37883,neutral
10503,positive
40456,positive
32915,neutral
10563,positive
36292,negative
22528,positive
38249,negative
40501,positive
26815,negative
11670,neutral
14929,positive
23216,positive
13689,positive
24192,negative
11037,neutral
18379,positive
23010,negative
26963,neutral
9101,negative
3689,neutral
34931,negative
30097,negative
32707,negative
2933,negative
3488,neutral
9591,neutral
23347,negative
9911,positive
2883,negative
42700,neutral
16149,positive
26895,positive
10250,positive
17843,neutral
36494,negative
28078,neutral
5027,neutral
24671,positive
33879,neutral
1774,negative
42232,positive
12061,negative
12141,neutral
15397,negative
6427,neutral
36633,neutral
22130,neutral
43221,neutral
8691,neutral
5606,positive
20182,negative
35162,neutral
32639,positive
10688,positive
13424,positive
10550,neutral
21220,neutral
15003,neutral
21352,positive
26798,neutral
25864,positive
16526,neutral
26571,neutral
4767,positive
13257,negative
33532,negative
33054,neutral
37199,neutral
20103,neutral
28007,neutral
11109,positive
10697,negative
19628,neutral
31299,neutral
21486,neutral
19548,neutral
38766,neutral
22867,positive
37315,neutral
34903,neutral
5266,neutral
35450,neutral
38595,negative
29366,positive
36439,neutral
22155,negative
19374,positive
37376,negative
15391,neutral
14669,neutral
26870,neutral
14351,positive
30644,negative
11590,neutral
43173,positive
15524,positive
8788,positive
13754,neutral
6589,neutral
14876,negative
41547,neutral
28840,positive
1281,positive
44599,neutral
7790,positive
19379,neutral
205,neutral
42185,negative
18092,positive
4,neutral
31851,neutral
7147,negative
20888,positive
11479,neutral
6043,positive
35447,neutral
22144,negative
17564,neutral
12571,negative
16143,positive
37161,positive
27688,neutral
12100,positive
17977,negative
19176,neutral
14578,positive
10817,neutral
23466,negative
15171,positive
16607,negative
35341,neutral
15402,positive
16710,negative
22177,negative
23459,negative
10607,neutral
38904,negative
10801,neutral
12070,negative
9571,neutral
20040,negative
35062,positive
24783,negative
27348,positive
25374,positive
4870,negative
4952,neutral
6325,neutral
10973,negative
27480,negative
15590,neutral
18026,positive
30043,positive
16128,negative
163,neutral
41083,negative
34411,neutral
889,positive
3622,negative
25954,positive
13632,positive
3808,positive
18300,negative
10307,negative
19390,positive
8725,neutral
10897,positive
1298,neutral
11766,neutral
20849,neutral
23151,positive
13860,positive
11039,positive
33280,neutral
10001,positive
12164,positive
29242,neutral
1961,neutral
20161,negative
10919,positive
3101,positive
41796,neutral
19210,neutral
7836,negative
23519,neutral
10992,neutral
11056,neutral
26677,neutral
35603,positive
42319,positive
4871,negative
2354,positive
39331,neutral
9728,negative
7418,negative
2798,neutral
17002,neutral
21641,negative
19442,neutral
16987,neutral
21114,negative
21201,neutral
15588,neutral
23421,negative
27386,neutral
41853,positive
32890,neutral
25146,positive
23073,neutral
25501,neutral
15358,neutral
27267,neutral
20484,neutral
40829,negative
1769,positive
9823,neutral
22311,neutral
27720,positive
2783,positive
11831,negative
6871,neutral
32874,positive
11469,positive
15609,negative
33695,positive
13520,positive
31874,positive
40795,positive
19463,negative
43637,neutral
4650,positive
16825,neutral
21332,neutral
29206,negative
18247,neutral
32594,neutral
1650,positive
35814,positive
25609,positive
32671,neutral
18509,neutral
11041,negative
33806,negative
14897,negative
36213,neutral
10843,negative
15914,positive
8877,negative
16615,negative
38330,positive
20906,negative
3832,neutral
16489,positive
21409,negative
11351,negative
11120,neutral
30269,neutral
12720,negative
28089,neutral
18943,positive
28892,neutral
34446,positive
22991,positive
8923,neutral
10808,negative
42967,neutral
20840,negative
29038,positive
4420,positive
12192,neutral
20819,neutral
2578,positive
18710,negative
5456,neutral
11073,positive
30882,negative
3316,neutral
34,positive
30035,negative
36680,negative
10271,neutral
19985,negative
24710,neutral
4421,neutral
30497,neutral
11760,positive
15784,positive
16625,positive
33913,neutral
34738,neutral
36699,positive
8720,negative
25011,neutral
10635,positive
43298,neutral
28074,positive
43408,positive
35239,positive
1663,neutral
39025,positive
8968,negative
25342,negative
2729,neutral
26947,positive
40413,neutral
24479,negative
40462,positive
35507,negative
3855,neutral
42563,positive
4053,positive
17380,negative
31068,neutral
15995,neutral
35132,neutral
16923,positive
15948,negative
41096,negative
17154,neutral
12768,positive
139,neutral
10331,positive
22196,neutral
3154,neutral
3411,neutral
15729,neutral
31957,neutral
20352,positive
6674,neutral
811,neutral
32018,neutral
24098,negative
23872,positive
28605,neutral
17212,positive
22473,neutral
34787,positive
10569,neutral
34062,positive
21671,positive
10591,neutral
44384,neutral
21084,neutral
4302,positive
7912,positive
9321,neutral
34674,positive
31332,negative
12256,neutral
14186,neutral
31675,positive
579,positive
36478,neutral
17543,negative
23457,positive
27147,neutral
5991,negative
228,neutral
8136,neutral
6919,negative
15276,positive
39556,positive
20160,neutral
42031,positive
24640,positive
10608,neutral
6738,neutral
31878,neutral
38432,neutral
20285,neutral
33057,positive
41021,positive
43335,negative
36186,positive
39603,neutral
33425,positive
7165,positive
33549,neutral
31711,positive
20985,neutral
11266,negative
29651,neutral
16468,positive
11777,neutral
31941,positive
6067,positive
13228,negative
19772,positive
18363,positive
11367,positive
27075,positive
29517,positive
14987,negative
4170,neutral
17680,neutral
13673,neutral
21684,negative
33102,negative
2801,positive
26350,neutral
27954,negative
208,positive
9274,positive
43151,positive
31124,positive
12594,positive
23390,neutral
11200,neutral
11512,neutral
43402,negative
20891,positive
29832,neutral
30238,neutral
22803,negative
20910,neutral
11083,neutral
28075,neutral
29938,positive
21255,neutral
11142,negative
11625,negative
33538,negative
28975,neutral
41189,positive
23565,neutral
13519,positive
11574,negative
27317,neutral
44376,neutral
37693,positive
4101,positive
351,positive
19945,positive
19906,negative
7593,positive
28214,neutral
9611,neutral
4793,negative
15196,positive
9385,negative
1568,negative
30318,neutral
41408,positive
13941,neutral
35004,positive
13909,neutral
7007,neutral
32744,neutral
11789,negative
14459,neutral
8947,neutral
11234,positive
18091,neutral
43915,positive
43118,positive
19691,neutral
29670,positive
22142,neutral
4662,neutral
36093,neutral
26796,positive
25425,negative
20676,neutral
4544,negative
37925,positive
11803,neutral
2934,negative
41673,neutral
17948,neutral
29018,positive
21015,negative
5438,positive
10977,neutral
31771,positive
42344,negative
9645,neutral
40443,negative
27612,negative
25432,neutral
16838,negative
11739,negative
162,positive
9176,positive
42961,positive
40299,positive
17797,negative
21524,neutral
3643,positive
4000,neutral
10630,neutral
10759,negative
11227,negative
5157,positive
23749,neutral
26818,neutral
3531,neutral
24504,positive
15551,neutral
7863,neutral
27523,neutral
5581,neutral
442,neutral
32320,neutral
8131,positive
33022,positive
40872,positive
33199,negative
13157,positive
43668,positive
28885,neutral
36965,positive
39767,negative
24312,positive
21701,neutral
24689,negative
32812,neutral
9511,neutral
44928,negative
10556,positive
34035,positive
31673,positive
11027,neutral
27641,positive
22818,neutral
16273,neutral
33498,neutral
24912,neutral
32909,negative
14337,positive
33234,neutral
10401,neutral
23282,neutral
30305,neutral
11759,neutral
21645,neutral
20975,neutral
33167,negative
7729,neutral
21237,neutral
21082,positive
22975,negative
27059,positive
657,positive
43494,neutral
29741,positive
31457,negative
1429,neutral
36945,neutral
27958,neutral
32250,negative
19905,negative
5045,negative
23184,negative
22139,neutral
18737,positive
10298,positive
25097,neutral
10894,negative
35905,negative
8051,negative
36499,neutral
41188,negative
21011,neutral
19523,negative
10491,negative
14071,negative
18034,positive
6943,positive
16408,neutral
20737,negative
40633,neutral
35002,positive
33930,neutral
28104,neutral
20132,positive
24961,negative
3371,neutral
20571,neutral
24389,neutral
158,neutral
2373,neutral
7109,neutral
32033,negative
7561,negative
20848,neutral
21328,neutral
32767,neutral
25054,negative
2470,negative
22455,positive
9213,negative
29153,negative
43655,neutral
43108,positive
29205,positive
6040,neutral
36616,negative
26722,positive
10352,neutral
25277,neutral
30443,neutral
32905,negative
18305,negative
10445,positive
21670,negative
21376,neutral
17723,negative
9003,negative
40636,positive
13595,negative
43121,positive
3718,negative
11463,negative
5075,positive
36387,positive
11405,positive
20482,positive
10617,positive
4744,neutral
12603,neutral
3078,negative
14134,negative
28147,negative
27068,negative
26166,neutral
40926,positive
16992,positive
38729,neutral
43897,neutral
11035,neutral
31015,neutral
23774,neutral
19372,positive
10967,neutral
5779,negative
33293,positive
20869,negative
28335,positive
13565,neutral
10502,positive
39942,neutral
27468,neutral
4725,neutral
20928,neutral
11007,neutral
961,neutral
17827,negative
18144,positive
10740,neutral
9397,positive
18102,negative
6389,neutral
37056,positive
10646,negative
21802,neutral
33126,negative
5682,neutral
41726,neutral
23617,negative
16201,neutral
8258,negative
17711,negative
4343,positive
18337,neutral
34862,neutral
176,neutral
32659,neutral
27004,positive
18963,negative
22444,neutral
40231,neutral
3892,neutral
14812,negative
20898,neutral
480,neutral
35470,positive
14963,negative
41150,negative
42667,neutral
13470,negative
33834,neutral
26310,negative
32687,negative
35488,positive
11910,positive
18564,neutral
32618,positive
41276,positive
43171,positive
6450,positive
13775,neutral
22635,negative
31014,negative
20349,neutral
43692,neutral
17318,neutral
26255,negative
21686,negative
15928,neutral
34835,positive
37287,positive
890,neutral
18462,neutral
42863,negative
32815,positive
25967,positive
7432,positive
3104,neutral
40467,negative
22041,neutral
40836,neutral
17805,neutral
20230,negative
32014,positive
10085,neutral
7786,neutral
29608,neutral
20362,negative
11369,positive
10709,neutral
15240,neutral
10347,neutral
35585,neutral
44476,neutral
19170,positive
19644,neutral
16027,positive
29621,positive
35243,neutral
38456,positive
35731,positive
21924,neutral
8156,positive
4633,neutral
20675,negative
10776,neutral
12110,positive
33700,negative
8281,negative
43132,neutral
10450,negative
10706,negative
40674,neutral
9057,positive
7923,neutral
31902,positive
36127,neutral
18774,neutral
21545,neutral
12143,positive
14657,neutral
11180,neutral
29090,positive
42111,negative
11239,neutral
29610,neutral
21406,neutral
24384,positive
41518,neutral
31776,positive
43273,neutral
31566,positive
14858,neutral
25728,neutral
41497,neutral
21577,neutral
20037,neutral
42364,positive
14290,positive
38269,negative
14600,negative
28853,negative
18946,negative
11857,negative
44733,negative
10047,negative
21260,positive
33414,positive
43120,positive
9997,neutral
10756,positive
21621,positive
32500,negative
12505,neutral
18,positive
15208,neutral
10158,positive
30792,negative
5572,negative
37785,neutral
6084,positive
9348,negative
6142,neutral
21614,positive
38837,negative
43255,positive
8472,positive
1872,positive
11324,neutral
923,neutral
21729,neutral
10364,positive
13842,positive
23652,positive
10886,negative
16322,neutral
42128,neutral
4172,negative
19356,neutral
10871,positive
23183,positive
35458,neutral
26757,negative
9085,positive
39914,neutral
4627,positive
38573,negative
42007,positive
37206,neutral
18765,neutral
18786,positive
18022,positive
2648,positive
9062,positive
11001,neutral
22141,neutral
11980,negative
20433,neutral
7830,neutral
19342,positive
5425,negative
27950,neutral
16130,positive
43905,negative
19655,positive
32026,neutral
5957,neutral
20727,positive
40121,neutral
1738,positive
43,positive
8402,neutral
23063,positive
1860,positive
7123,neutral
26684,neutral
41020,negative
8262,negative
11102,neutral
30938,positive
11321,positive
30631,neutral
43485,neutral
25139,positive
18887,positive
41372,negative
3304,neutral
26993,negative
3830,neutral
32962,neutral
10939,neutral
2886,neutral
25148,negative
7893,neutral
12033,positive
11383,neutral
9123,negative
43183,neutral
7937,positive
26266,positive
1811,negative
2105,neutral
10565,negative
9331,neutral
33377,negative
250,positive
8480,neutral
19305,positive
10880,neutral
11322,neutral
2167,neutral
20896,neutral
25702,positive
30439,positive
2618,negative
17875,neutral
7939,neutral
24911,positive
25087,neutral
11595,positive
10934,negative
34811,neutral
16083,neutral
1938,negative
24263,neutral
14571,positive
33067,positive
27366,negative
23370,neutral
25785,neutral
15121,positive
30507,positive
25890,neutral
13104,negative
31250,neutral
29072,neutral
18494,positive
22008,neutral
16410,positive
42729,neutral
43513,negative
26921,positive
11238,neutral
3685,neutral
36407,neutral
19615,negative
8490,positive
33646,negative
25869,neutral
30989,negative
25331,neutral
25925,positive
21344,neutral
4863,positive
32720,positive
22951,neutral
2885,neutral
22591,positive
24787,negative
16669,positive
41999,positive
5006,positive
16087,positive
1349,positive
16717,neutral
15749,positive
41817,positive
26249,neutral
10139,negative
44029,neutral
40754,neutral
14592,neutral
1566,positive
28591,negative
4600,neutral
27071,positive
26168,neutral
20424,neutral
3466,positive
31850,neutral
10511,neutral
31847,negative
14649,neutral
8616,negative
30209,neutral
9687,negative
18441,negative
411,positive
5066,neutral
10309,negative
43477,negative
3168,neutral
25810,negative
10015,negative
9058,neutral
39082,positive
24909,positive
27288,negative
855,neutral
16882,negative
26419,neutral
10009,neutral
14794,neutral
38831,positive
25897,neutral
34081,positive
4436,neutral
9091,neutral
9575,neutral
10382,neutral
12917,neutral
32892,negative
30321,positive
14050,neutral
10655,neutral
11989,positive
18235,negative
17732,neutral
24386,negative
21519,positive
7046,neutral
34701,positive
10675,negative
15408,neutral
4106,positive
32410,positive
20623,neutral
12494,positive
37757,neutral
2626,positive
4897,negative
31832,negative
38352,positive
36697,positive
15891,negative
11538,neutral
10674,neutral
3289,negative
14841,positive
25242,neutral
10676,negative
24159,positive
6212,positive
10881,neutral
22718,neutral
6616,negative
33579,neutral
7862,positive
28002,negative
36232,negative
9501,negative
20552,neutral
31528,negative
33520,negative
4532,negative
1280,neutral
11396,neutral
34672,neutral
19256,positive
15790,neutral
26114,neutral
23552,positive
27725,neutral
17851,neutral
39391,neutral
1986,negative
28323,negative
42952,negative
5930,neutral
9854,positive
11708,neutral
11795,negative
7935,neutral
18301,negative
32916,positive
5155,positive
18197,neutral
31573,neutral
30546,neutral
11078,neutral
13605,neutral
28312,neutral
19083,neutral
10582,positive
8370,negative
13807,neutral
17179,positive
14626,positive
11212,negative
6446,negative
12776,negative
19314,positive
7949,neutral
8849,negative
38970,negative
38769,negative
8868,neutral
13848,positive
21365,positive
9653,neutral
26941,positive
3378,neutral
39253,negative
11564,positive
20704,neutral
1727,neutral
33761,positive
33741,neutral
2738,negative
11972,neutral
44689,negative
36941,positive
4829,neutral
29078,positive
40890,neutral
19311,neutral
21116,positive
42570,positive
1016,neutral
10961,negative
21171,negative
21149,neutral
6519,positive
21135,positive
8245,positive
13433,neutral
3349,positive
21087,neutral
4692,neutral
10800,neutral
24002,neutral
17386,positive
35286,positive
38342,positive
4340,neutral
27893,neutral
6594,neutral
35040,negative
38706,negative
13606,negative
4685,neutral
20642,negative
32211,neutral
25154,neutral
21466,neutral
10334,positive
10429,negative
7443,neutral
27663,positive
41566,negative
10500,neutral
24072,positive
10230,positive
4715,positive
30121,negative
18052,neutral
33329,positive
16369,neutral
11233,neutral
26891,neutral
16499,positive
40073,positive
11668,neutral
12840,positive
9707,negative
12311,neutral
31685,neutral
21019,neutral
10278,neutral
20308,positive
24323,positive
7257,neutral
3544,positive
5285,neutral
18533,negative
18856,positive
28733,neutral
9395,neutral
20000,neutral
8903,positive
36786,neutral
40300,positive
10461,negative
36076,positive
8514,positive
28763,positive
7565,neutral
22058,neutral
23050,positive
10431,positive
8019,negative
11904,negative
19339,positive
20211,negative
27363,positive
19255,neutral
2097,positive
1643,negative
42125,neutral
41104,positive
706,neutral
17400,positive
21215,neutral
4370,neutral
31907,positive
5283,negative
7587,neutral
6886,neutral
16902,neutral
13230,neutral
27597,positive
21652,neutral
10620,neutral
28887,neutral
21511,neutral
24631,neutral
5902,negative
15163,neutral
22850,negative
3842,neutral
30343,positive
26578,negative
999,positive
7306,neutral
10811,neutral
8944,positive
36059,negative
20657,neutral
10685,positive
32097,negative
23981,neutral
9230,negative
33320,neutral
39829,neutral
22861,neutral
40101,neutral
26844,neutral
11579,neutral
4323,neutral
35296,negative
26855,neutral
35411,neutral
18962,positive
11454,neutral
41218,positive
7680,neutral
4318,negative
1806,positive
43072,neutral
26620,neutral
21447,neutral
11800,positive
20019,neutral
30034,neutral
21474,neutral
26883,neutral
35457,positive
7152,negative
20847,negative
8081,neutral
18647,negative
10399,neutral
30821,neutral
44100,neutral
15097,positive
34319,positive
15433,neutral
10621,positive
22905,positive
28499,neutral
17623,neutral
45046,neutral
18524,negative
2120,positive
10702,neutral
15118,neutral
14229,negative
14566,positive
1268,negative
40815,neutral
2646,neutral
565,neutral
8005,neutral
10129,negative
21145,negative
42166,neutral
17609,negative
37876,neutral
5322,neutral
12842,positive
31495,neutral
6532,negative
30252,negative
12300,negative
43026,negative
17982,neutral
23441,neutral
33779,positive
13270,positive
35240,positive
29338,positive
11092,negative
10841,negative
35566,neutral
5426,negative
422,neutral
10355,negative
6833,negative
37330,neutral
1303,neutral
264,negative
4264,neutral
11267,neutral
25796,negative
345,negative
22772,negative
3723,neutral
12584,neutral
12195,neutral
13416,negative
11291,neutral
17954,positive
21250,positive
39413,neutral
44183,negative
32675,positive
27490,positive
27401,positive
